Time,Brightness,Face Coordinates,Face Area,Approximate Distance (cm)
1713275469.696797,129.848935546875,"(458, 147, 300, 300)",90000,46.666666666666664
1713275470.7001972,135.17976236979166,"(460, 182, 299, 299)",89401,46.82274247491639
1713275471.78661,126.881201171875,"(468, 222, 299, 299)",89401,46.82274247491639
1713275472.8180962,128.36774305555556,"(456, 225, 303, 303)",91809,46.20462046204621
1713275473.8428779,137.99581597222223,"(456, 93, 310, 310)",96100,45.16129032258065
1713275474.8551528,128.41587999131946,"(463, 151, 304, 304)",92416,46.05263157894737
1713275475.959925,128.445380859375,"(451, 151, 318, 318)",101124,44.0251572327044
1713275477.076133,128.08618272569444,"(453, 147, 320, 320)",102400,43.75
1713275478.153334,128.8544683159722,"(452, 153, 320, 320)",102400,43.75
1713275479.17875,128.3307052951389,"(451, 150, 318, 318)",101124,44.0251572327044
1713275480.3208802,128.57024739583332,"(457, 159, 310, 310)",96100,45.16129032258065
1713275481.389479,128.16267903645834,"(462, 164, 305, 305)",93025,45.90163934426229
1713275482.515029,127.79931966145833,"(448, 163, 320, 320)",102400,43.75
1713275483.61243,128.3649435763889,"(458, 175, 301, 301)",90601,46.51162790697674
1713275484.6264262,128.53198893229165,"(454, 167, 309, 309)",95481,45.30744336569579
1713275485.709391,129.03248480902778,"(459, 146, 331, 331)",109561,42.29607250755287
1713275486.784993,128.99509765625,"(460, 160, 322, 322)",103684,43.47826086956522
1713275487.8441489,128.95678385416667,"(465, 174, 300, 300)",90000,46.666666666666664
1713275488.910369,128.69670789930555,"(449, 175, 320, 320)",102400,43.75
1713275489.9442549,128.3221896701389,"(446, 174, 315, 315)",99225,44.44444444444444
1713275490.9745421,128.6535590277778,"(453, 179, 306, 306)",93636,45.751633986928105
1713275492.004094,128.3986404079861,"(449, 166, 322, 322)",103684,43.47826086956522
1713275493.014663,128.6738454861111,"(451, 169, 316, 316)",99856,44.30379746835443
1713275494.084359,129.12423828125,"(449, 170, 315, 315)",99225,44.44444444444444
1713275495.171741,128.87313151041667,"(447, 169, 313, 313)",97969,44.72843450479233
1713275496.238962,128.90188042534723,"(457, 175, 301, 301)",90601,46.51162790697674
1713275497.335575,129.03111762152778,"(454, 169, 311, 311)",96721,45.01607717041801
1713275498.4130251,128.9070876736111,"(457, 172, 307, 307)",94249,45.60260586319218
1713275499.505036,129.32481770833334,"(458, 170, 310, 310)",96100,45.16129032258065
1713275500.5059352,129.2364377170139,"(457, 168, 309, 309)",95481,45.30744336569579
1713275501.573031,128.965869140625,"(453, 165, 303, 303)",91809,46.20462046204621
1713275502.678781,121.25994032118055,"(449, 140, 312, 312)",97344,44.87179487179487
1713275503.777214,121.23117621527778,"(469, 157, 295, 295)",87025,47.45762711864407
1713275504.8674932,120.574677734375,"(458, 146, 301, 301)",90601,46.51162790697674
1713275505.928472,121.44589518229166,"(459, 141, 301, 301)",90601,46.51162790697674
1713275506.969281,121.56510633680556,"(453, 146, 312, 312)",97344,44.87179487179487
1713275507.972987,121.11092447916667,"(457, 142, 310, 310)",96100,45.16129032258065
1713275509.01754,121.08148871527777,"(460, 145, 304, 304)",92416,46.05263157894737
1713275510.065731,121.09945638020834,"(468, 157, 296, 296)",87616,47.2972972972973
1713275511.078926,121.005810546875,"(460, 151, 309, 309)",95481,45.30744336569579
1713275512.079435,120.58985026041667,"(448, 136, 327, 327)",106929,42.813455657492355
